feature_shap,feature
1.520,rougher.input.feed_fe
1.049,rougher.state.floatbank10_a_air
1.042,rougher.state.floatbank10_a_level
0.458,rougher.state.floatbank10_c_air
0.452,encod_val_rougher.input.feed_fe
0.385,rougher.input.feed_sol
0.322,rougher.state.floatbank10_d_air
0.289,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.250,value__quantile__q_0.95_p24_rougher.input.feed_sol
0.250,value__quantile__q_0.95_p24_rougher.input.feed_fe
0.245,value__quantile__q_0.05_p24_rougher.input.feed_fe
0.233,encod_val_rougher.input.feed_zn
0.220,encod_val_rougher.input.feed_pb
0.190,rougher.input.feed_size
0.181,value__quantile__q_0.05_p24_rougher.state.floatbank10_b_air
0.148,diff_rougher.input.feed_zn_1
0.147,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.143,value__quantile__q_0.05_p24_rougher.input.floatbank11_xanthate
0.131,rougher.state.floatbank10_f_air
0.127,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.126,rougher.input.feed_rate
0.126,value__quantile__q_0.95_p24_rougher.input.floatbank11_xanthate
0.124,diff_rougher.input.floatbank10_xanthate_1
0.122,daily_avg_rougher
0.120,rougher.input.floatbank10_xanthate
0.113,rougher.state.floatbank10_e_air
0.105,diff_rougher.input.floatbank10_xanthate_2
0.104,encod_rel_rougher.input.feed_pb
0.101,value__quantile__q_0.05_p24_rougher.input.floatbank10_copper_sulfate
0.100,encod_dif_rougher.input.feed_pb
0.099,diff_encod_val_rougher.input.feed_pb_2
0.096,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.095,diff_encod_val_rougher.input.feed_zn_1
0.091,diff_rougher.input.floatbank11_xanthate_1
0.081,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.078,value__linear_trend__attr_slope_p24_rougher.input.floatbank11_xanthate
0.076,rougher.state.floatbank10_b_air
0.076,hour
0.075,dayw
0.073,value__quantile__q_0.05_p12_rougher.state.floatbank10_b_air
0.073,value__quantile__q_0.05_p12_rougher.input.feed_sol
0.073,value__minimum_p6_rougher.input.feed_sol
0.068,value__quantile__q_0.95_p24_rougher.state.floatbank10_b_air
0.064,rougher.input.feed_zn
0.062,value__quantile__q_0.95_p12_rougher.input.feed_sol
0.062,rougher.state.floatbank10_b_level
0.060,encod_rel_rougher.input.feed_fe
0.060,value__mean_p6_rougher.input.floatbank11_xanthate
0.059,value__linear_trend__attr_slope_p24_rougher.input.feed_fe
0.058,value__minimum_p6_rougher.input.floatbank11_xanthate
0.058,value__skewness_p24_rougher.input.floatbank10_copper_sulfate
0.054,value__mean_p6_rougher.input.feed_sol
0.053,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.051,encod_dif_rougher.input.feed_fe
0.049,value__maximum_p6_rougher.input.feed_sol
0.049,value__skewness_p24_rougher.input.feed_sol
0.048,encod_rel_rougher.input.feed_zn
0.046,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.045,value__linear_trend__attr_slope_p12_rougher.input.floatbank11_xanthate
0.045,diff_rougher.state.floatbank10_c_level_2
0.043,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.043,diff_rougher.input.feed_zn_2
0.042,value__maximum_p6_rougher.input.floatbank11_xanthate
0.042,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.041,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.040,value__minimum_p6_rougher.state.floatbank10_b_air
0.040,value__maximum_p6_rougher.input.feed_rate
0.035,value__skewness_p24_rougher.input.feed_fe
0.035,value__skewness_p12_rougher.input.floatbank10_copper_sulfate
0.035,rougher.input.feed_pb
0.034,value__quantile__q_0.05_p12_rougher.input.feed_rate
0.032,diff_rougher.input.floatbank10_copper_sulfate_2
0.031,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.030,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.029,rougher.input.floatbank11_xanthate
0.028,value__maximum_p6_rougher.input.floatbank10_copper_sulfate
0.028,value__quantile__q_0.05_p24_rougher.input.feed_pb
0.028,value__skewness_p24_rougher.input.floatbank11_xanthate
0.027,value__linear_trend__attr_slope_p24_rougher.state.floatbank10_b_air
0.027,diff_rougher.state.floatbank10_c_level_1
0.026,value__maximum_p6_rougher.input.feed_fe
0.025,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.025,value__quantile__q_0.05_p12_rougher.input.floatbank10_copper_sulfate
0.025,value__maximum_p6_rougher.input.feed_pb
0.025,value__quantile__q_0.05_p24_rougher.input.feed_zn
0.025,value__quantile__q_0.95_p24_rougher.input.feed_zn
0.025,value__kurtosis_p24_rougher.state.floatbank10_b_air
0.024,value__maximum_p6_rougher.state.floatbank10_b_air
0.024,diff_rougher.state.floatbank10_d_air_2
0.024,value__kurtosis_p24_rougher.input.feed_sol
0.024,value__kurtosis_p12_rougher.input.feed_rate
0.023,value__quantile__q_0.95_p12_rougher.input.floatbank10_copper_sulfate
0.023,rougher.state.floatbank10_c_level
0.022,encod_dif_rougher.input.feed_zn
0.021,value__minimum_p6_rougher.input.feed_zn
0.020,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.020,value__skewness_p24_rougher.input.feed_rate
0.019,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.019,value__kurtosis_p24_rougher.input.feed_zn
0.019,rougher.input.floatbank10_copper_sulfate
0.019,diff_rougher.input.feed_pb_1
0.019,rougher.input.floatbank11_copper_sulfate
0.018,value__mean_p6_rougher.input.feed_rate
0.018,diff_rougher.input.floatbank11_xanthate_2
0.017,value__minimum_p6_rougher.input.feed_rate
0.016,value__quantile__q_0.05_p24_rougher.input.feed_rate
0.015,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.015,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.014,value__skewness_p24_rougher.input.feed_zn
0.013,value__minimum_p6_rougher.input.feed_pb
0.013,rougher.state.floatbank10_d_level
0.013,diff_rougher.state.floatbank10_d_air_1
0.013,value__mean_p6_rougher.state.floatbank10_b_air
0.013,value__skewness_p12_rougher.input.feed_fe
0.012,rougher.state.floatbank10_f_level
0.012,value__minimum_p6_rougher.input.feed_fe
0.011,diff_rougher.input.feed_fe_1
0.011,value__kurtosis_p24_rougher.input.feed_rate
0.010,diff_encod_val_rougher.input.feed_pb_1
0.010,value__quantile__q_0.95_p12_rougher.input.feed_zn
0.010,value__skewness_p24_rougher.state.floatbank10_b_air
0.010,rougher.state.floatbank10_e_level
0.009,value__linear_trend__attr_slope_p24_rougher.input.floatbank10_copper_sulfate
0.009,value__quantile__q_0.05_p12_rougher.input.feed_fe
0.008,diff_encod_rel_rougher.input.feed_zn_1
