date,rougher.output.recovery,final.output.recovery
2016-09-01T00:59:59Z,89.04069871293758,74.02449394196987
2016-09-01T01:59:59Z,89.5984281857711,74.49292264992779
2016-09-01T02:59:59Z,89.59367112685946,74.4664916903352
2016-09-01T03:59:59Z,89.72508440438877,74.4548733436976
2016-09-01T04:59:59Z,87.08859864614935,72.00773509407989
2016-09-01T05:59:59Z,83.10380341607706,68.3520372944064
2016-09-01T06:59:59Z,79.75256894054569,65.77243789398766
2016-09-01T07:59:59Z,78.31036963833671,64.73959783510819
2016-09-01T08:59:59Z,78.45420499195153,64.76012023892054
2016-09-01T09:59:59Z,77.43410492317973,64.00212296255908
2016-09-01T10:59:59Z,76.46413869104876,63.1704977483056
2016-09-01T11:59:59Z,76.77322917874315,63.288591517898
2016-09-01T12:59:59Z,77.09699351995125,63.34715156664266
2016-09-01T13:59:59Z,76.95204439397745,62.94996740395486
2016-09-01T14:59:59Z,76.66805371340794,62.861129827294604
2016-09-01T15:59:59Z,78.2182633484758,64.33716161379793
2016-09-01T16:59:59Z,78.79031609197024,65.33029326616814
2016-09-01T17:59:59Z,80.39583341729997,66.33186921413949
2016-09-01T18:59:59Z,79.92907680601253,65.95562569931627
2016-09-01T19:59:59Z,77.53500991489666,64.30362782348047
2016-09-01T20:59:59Z,77.25018982413637,63.62398297328368
2016-09-01T21:59:59Z,76.3357621876117,62.77981911014844
2016-09-01T22:59:59Z,77.37680138137465,64.42090097377208
2016-09-01T23:59:59Z,79.72564751214577,66.27987182834967
2016-09-02T00:59:59Z,80.51932360389806,66.71868595573936
2016-09-02T01:59:59Z,79.75404795836907,66.44533738664325
2016-09-02T02:59:59Z,80.88379168267882,65.541613916114
2016-09-02T03:59:59Z,75.02578278268042,61.9273846687125
2016-09-02T04:59:59Z,76.55053279605863,63.61515027658484
2016-09-02T05:59:59Z,78.02439576786449,65.13877502142546
2016-09-02T06:59:59Z,73.04793354379956,55.35533212989454
2016-09-02T07:59:59Z,67.76213135125697,53.41512868487812
2016-09-02T08:59:59Z,67.82677937009753,53.304776049738514
