date,qrf,rf,rougher.output.recovery,final.output.recovery,qrf_final,rf_final
2016-09-01T00:59:59Z,90.87080488912753,90.90022052486465,89.24829757349733,70.98743422437434,71.66451193477575,71.57104037233752
2016-09-01T01:59:59Z,90.79527363198576,90.82669532652868,89.35556706120981,69.566420102251,68.87278492031602,68.77568386170326
2016-09-01T02:59:59Z,90.87080488912753,90.90022052486465,89.79118141461815,68.14527548417762,68.77759346332837,68.72038911438896
2016-09-01T03:59:59Z,90.87080488912753,90.90022052486465,89.71606971034247,69.2954401340684,68.87278492031602,68.77568386170326
2016-09-01T04:59:59Z,90.7567470825079,90.7514432664115,89.32767288350313,66.79334167809785,68.22077274440588,68.42836587626287
2016-09-01T05:59:59Z,84.781820989921,84.80132135754643,87.85074463242974,64.88401663854637,63.833266518924034,63.80657014263671
2016-09-01T06:59:59Z,84.54858336530802,84.60482298986963,86.85457556930776,63.85953397149708,63.833266518924034,63.80657014263671
2016-09-01T07:59:59Z,84.54858336530802,84.60482298986963,86.72651933259186,63.6768259460486,63.457185196593755,63.18673377950872
2016-09-01T08:59:59Z,84.54858336530802,84.60482298986963,87.33944129062324,65.13473989132184,63.833266518924034,63.80657014263671
2016-09-01T09:59:59Z,84.54858336530802,84.60482298986963,85.9237102963444,62.885110233135094,63.07102414065129,62.87199726236063
2016-09-01T10:59:59Z,84.54858336530802,84.60482298986963,85.79994403721061,62.04749994917827,61.77793866555765,62.16229665939873
2016-09-01T11:59:59Z,84.54858336530802,84.60482298986963,86.18417436183859,63.95079904359854,63.833266518924034,63.80657014263671
2016-09-01T12:59:59Z,84.54858336530802,84.60482298986963,85.90580111921662,64.00411874517434,63.833266518924034,63.80657014263671
2016-09-01T13:59:59Z,84.54858336530802,84.60482298986963,85.02334319918916,62.405947318841925,63.260626535419185,62.92592274364694
2016-09-01T14:59:59Z,84.54858336530802,84.60482298986963,85.83603019809007,65.18374519452169,63.833266518924034,63.80657014263671
2016-09-01T15:59:59Z,84.54858336530802,84.60482298986963,86.90341583869902,66.8176167191993,65.30724517011927,65.42295334172498
2016-09-01T16:59:59Z,84.54858336530802,84.60482298986963,86.56037470383461,65.06781208391087,63.833266518924034,63.80657014263671
2016-09-01T17:59:59Z,84.54858336530802,84.60482298986963,85.6521369391712,63.97445167261251,63.833266518924034,63.80657014263671
2016-09-01T18:59:59Z,84.54858336530802,84.60482298986963,85.76628695828657,63.952936103418786,63.833266518924034,63.80657014263671
2016-09-01T19:59:59Z,84.54858336530802,84.60482298986963,85.51221133606597,62.19661944501499,63.19708213903095,62.92592274364694
2016-09-01T20:59:59Z,79.76873137817253,80.06514635126653,82.1022591284912,59.51140696570983,58.54362734929336,58.14120250890382
2016-09-01T21:59:59Z,84.54858336530802,84.60482298986963,85.2087752287484,63.662332909732676,63.833266518924034,63.80657014263671
2016-09-01T22:59:59Z,84.54858336530802,84.60482298986963,86.62868867982088,66.62965566468363,64.80053280771084,64.46393671744941
2016-09-01T23:59:59Z,84.54858336530802,84.60482298986963,86.34100073163296,65.73944642289284,63.833266518924034,63.80657014263671
2016-09-02T00:59:59Z,84.54858336530802,84.60482298986963,86.31143088015413,66.25745219682514,68.22077274440588,68.42836587626287
2016-09-02T01:59:59Z,84.54858336530802,84.60482298986963,86.10968409944968,65.93219506922618,67.96025483788299,68.1431912470967
2016-09-02T02:59:59Z,84.54858336530802,84.60482298986963,85.43380252676631,61.67553910109485,61.58255674608826,62.01326601133217
2016-09-02T03:59:59Z,80.31693257438394,80.36877891182128,83.69013862560527,62.79117181212215,63.340221262216595,63.18673377950872
2016-09-02T04:59:59Z,80.50134632467373,80.4136003735679,83.66049694959658,62.57626445248005,62.20713752559749,62.13302931160609
2016-09-02T05:59:59Z,80.50869481136688,80.4562015273292,83.14267567518566,62.17075261787719,62.274870162619436,62.138805226397835
2016-09-02T06:59:59Z,74.43964785875812,74.54783799614829,74.11650171134812,55.68623802763138,57.201973274756114,57.145257748404894
2016-09-02T07:59:59Z,74.50072718565512,74.54783799614829,73.73853034416368,52.744293597325424,57.11803017876072,57.145257748404894
2016-09-02T08:59:59Z,74.56483450793668,74.54783799614829,74.128635381197,52.73031528082377,57.11803017876072,57.145257748404894
2016-09-02T09:59:59Z,74.5037551810397,74.48879462649161,77.50105166563006,55.51230906929349,57.11803017876072,57.145257748404894
