date,rougher.output.recovery,final.output.recovery,Origin of data
1/4/2017 15:59:59,91.30121328,69.04351623,all_train
1/4/2017 16:59:59,91.55193798,74.04155057,all_train
1/4/2017 17:59:59,91.42867371,73.70282195,all_train
1/4/2017 18:59:59,91.55082038,72.23233058,all_train
1/4/2017 19:59:59,91.20127736,68.28180722,all_train
1/4/2017 20:59:59,90.22450322,64.98214064,all_train
1/4/2017 21:59:59,90.08049671,66.13912223,all_train
1/4/2017 22:59:59,89.77694909,66.47716902,all_train
1/4/2017 23:59:59,90.05941524,65.98706785,all_train
1/5/2017 0:59:59,90.53433039,67.37741239,all_train
1/5/2017 3:59:59,89.44509473,63.4373551,all_train
1/5/2017 4:59:59,87.21332015,64.73512974,all_train
1/5/2017 5:59:59,88.99984034,64.49849938,all_train
1/5/2017 6:59:59,89.3633122,61.54814558,all_train
1/5/2017 7:59:59,89.70979458,65.2251766,all_train
1/5/2017 8:59:59,90.16946761,64.22504126,all_train
1/5/2017 9:59:59,90.17239252,63.47050562,all_train
1/5/2017 10:59:59,89.41676688,64.61251127,all_train
1/5/2017 11:59:59,89.87851368,68.80326251,all_train
1/5/2017 12:59:59,90.34291252,66.08072422,all_train
1/5/2017 13:59:59,90.83412727,63.53307849,all_train
1/5/2017 14:59:59,89.51912784,57.81771946,all_train
1/5/2017 16:59:59,90.72902238,66.98678909,all_train
1/5/2017 17:59:59,91.18012654,69.01553776,all_train
1/5/2017 18:59:59,90.90111463,71.05266314,all_train
1/5/2017 19:59:59,90.39919345,70.63316406,all_train
1/5/2017 20:59:59,90.08755668,70.22044329,all_train
1/6/2017 4:59:59,89.37068856,73.24423413,all_train
1/6/2017 5:59:59,90.44274575,72.04114799,all_train
1/6/2017 6:59:59,91.18589955,70.42831006,all_train
1/6/2017 7:59:59,91.14678623,69.05622125,all_train
1/6/2017 8:59:59,91.38641231,67.75741501,all_train
1/6/2017 9:59:59,91.1819098,68.81206052,all_train
1/6/2017 10:59:59,91.31196196,67.58344432,all_train
1/6/2017 12:59:59,91.79229342,67.27519465,all_train
1/6/2017 13:59:59,91.79229342,67.27519465,all_train
1/6/2017 14:59:59,91.79229342,67.27519465,all_train
1/6/2017 15:59:59,91.79229342,67.27519465,all_train
1/6/2017 16:59:59,91.79229342,67.27519465,all_train
